zip,city,state,county,latitude,longitude
35004,Acmar,AL,St. Clair,33.603426,-86.493789
35005,Adamsville,AL,Jefferson,33.595950,-87.000649
35006,Adger,AL,Jefferson,33.422765,-87.209730
35007,Keystone,AL,Shelby,33.215623,-86.797656
35010,New site,AL,Tallapoosa,32.916719,-85.940589
35014,Alpine,AL,Talladega,33.355851,-86.261678
35016,Arab,AL,Marshall,34.323870,-86.502006
35019,Baileyton,AL,Cullman,34.302078,-86.634094
35020,Bessemer,AL,Jefferson,33.402429,-86.951784
35022,Zcta 35022,AL,Jefferson,33.322849,-86.971458
35023,Hueytown,AL,Jefferson,33.467828,-87.088219
35031,Blountsville,AL,Blount,34.097505,-86.555035
35033,Bremen,AL,Cullman,33.926475,-87.031801
35034,Brent,AL,Bibb,32.911122,-87.271681
35035,Brierfield,AL,Bibb,33.043682,-86.968442
35036,Brookside,AL,Jefferson,33.643922,-86.919599
35040,Calera,AL,Shelby,33.102967,-86.728894
35042,Centreville,AL,Bibb,32.957991,-87.103816
35043,Chelsea,AL,Shelby,33.314842,-86.659872
35044,Coosa pines,AL,Talladega,33.243975,-86.380759
35045,Clanton,AL,Chilton,32.799962,-86.676761
35046,Zcta 35046,AL,Chilton,32.931141,-86.534157
35049,Cleveland,AL,Blount,33.961807,-86.612064
35051,Columbiana,AL,Shelby,33.205032,-86.618915
35052,Cook springs,AL,St. Clair,33.590682,-86.409897
35053,Crane hill,AL,Cullman,34.054155,-87.073701
35054,Cropwell,AL,St. Clair,33.502019,-86.337925
35055,Cullman,AL,Cullman,34.151121,-86.758808
35057,Cullman,AL,Cullman,34.180462,-86.934257
35058,Zcta 35058,AL,Cullman,34.228856,-86.737261
35060,Docena,AL,Jefferson,33.557750,-86.951726
35061,Dolomite,AL,Jefferson,33.472006,-86.955940
35062,Dora,AL,Jefferson,33.724920,-87.010252
35063,Empire,AL,Walker,33.818273,-87.020552
35064,Fairfield,AL,Jefferson,33.476072,-86.920253
35068,Coalburg,AL,Jefferson,33.607519,-86.831073
35070,Garden city,AL,Cullman,34.009280,-86.757878
35071,Gardendale,AL,Jefferson,33.694975,-86.848078
35072,Goodwater,AL,Coosa,33.093498,-86.066947
35073,Alden,AL,Jefferson,33.651226,-86.986831
35074,Green pond,AL,Bibb,33.222349,-87.124270
35077,Hanceville,AL,Cullman,34.021165,-86.832668
35078,Harpersville,AL,Shelby,33.324420,-86.444966
